id,name,region,municipality,site_type,latitude,longitude,coord_confidence,depth_min_m,depth_max_m,description,sources
gar_falconera,Platja de la Falconera (Port de Garraf),garraf,Sitges,cove,41.24985270341496, 1.8972011344081616,verified,,,"Shore dive; Lassdive meeting point; rocky coast stretch south of Barcelona","lassdive.com"

gar_canons_morisca,Canons de Cala Morisca,garraf,Sitges,wall,41.24213509913494, 1.869606291980608,verified,,,"Canyon formations within Garraf Natural Park","barcelonasegwaytour.com"


dau_cala_vidre,Cala Vidre,costa_daurada,L'Ametlla de Mar,cove,40.91039115746152, 0.830423250335338,verified,,,"Rock formations with non-accessible cavities; famed for night dives","subkro.com; ametlladiving.com"
dau_cala_forn,Cala Forn,costa_daurada,L'Ametlla de Mar,cove,40.907893152813784, 0.8277267541711552,verified,,,"Horseshoe-shaped cove in Tres Cales; shore dive","subkro.com"
dau_cala_llobeta,Cala Llobeta,costa_daurada,L'Ametlla de Mar,cove,40.92642216704217, 0.8481630105006844,verified,,,"Shore dive with rock formations","ametlladiving.com"
dau_sant_jordi,Cala Sant Jordi d'Alfama,costa_daurada,L'Ametlla de Mar,cove,40.91226765846246, 0.8332017323962629,verified,,,"Next to 11th-century fortification; shore dive to 9 m","ametlladiving.com"
dau_estany,L'Estany,costa_daurada,L'Ametlla de Mar,cove,40.86794896936318, 0.7935840145876547,verified,,,"Shore dive with caves","padi.com"
dau_cala_pepo,Cala Pepo,costa_daurada,L'Ametlla de Mar,cove,40.878645811993735, 0.8000087358865551,verified,,,"Boat or shore dive","yumping.com"
dau_correu,El Correu (Cavour),costa_daurada,L'Ametlla de Mar,wreck,40.9000,0.8600,unverified,42,52,"Italian transatlantic liner from 1917, ~100 m long, split in two; advanced dive","ametlladiving.com"
dau_pepito_lalula,Pepito Lalula,costa_daurada,L'Ametlla de Mar,wreck,40.8800,0.8100,unverified,30,30,"Former trawler sunk ~15 years ago; artificial reef with congers and lobsters","ametlladiving.com"
dau_azur,La Azur,costa_daurada,L'Ametlla de Mar,wreck,40.8800,0.8100,unverified,29,29,"19.23 m trawler on muddy bottom; rich artificial reef","ametlladiving.com"
dau_moro,El Moro,costa_daurada,L'Ametlla de Mar,wreck,40.8800,0.8100,unverified,29,29,"Vessel remains sunk under EU fleet reconversion programme","ametlladiving.com"
